Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,31.690001,31.889999,31.510000,31.629999,29.907814,2033300
2023-01-04,32.619999,32.770000,32.480000,32.680000,30.900644,2680100
2023-01-05,33.410000,33.910000,33.360001,33.759998,31.921841,4549400
2023-01-06,33.779999,34.340000,33.669998,34.310001,32.441895,2431800
2023-01-09,34.240002,34.389999,34.160000,34.160000,32.300060,1903800
2023-01-10,34.340000,34.410000,34.169998,34.389999,32.517536,1531600
2023-01-11,34.580002,34.669998,34.529999,34.599998,32.716103,1409800
2023-01-12,35.540001,35.610001,35.209999,35.419998,33.491455,2882600
2023-01-13,35.709999,36.200001,35.669998,36.150002,34.181713,3153400
2023-01-17,36.500000,36.549999,36.099998,36.299999,34.323544,2010900
2023-01-18,36.549999,36.650002,36.180000,36.180000,34.210079,2902300
2023-01-19,35.880001,36.419998,35.880001,36.389999,34.408642,2288600
2023-01-20,36.470001,36.849998,36.410000,36.840000,34.834141,1985200
2023-01-23,36.610001,36.820000,36.590000,36.820000,34.815231,2103000
2023-01-24,36.520000,36.790001,36.410000,36.689999,34.692307,1779200
2023-01-25,36.750000,37.139999,36.740002,37.080002,35.061077,2121000
2023-01-26,37.189999,37.500000,37.049999,37.480000,35.439297,1537300
2023-01-27,37.220001,37.349998,37.040001,37.150002,35.127262,1817500
2023-01-30,37.130001,37.320000,37.060001,37.060001,35.042164,1641500
2023-01-31,36.770000,36.950001,36.630001,36.939999,34.928696,1833400
2023-02-01,36.720001,37.150002,36.650002,36.939999,34.928696,3349700
2023-02-02,36.529999,36.529999,36.070000,36.230000,34.257355,2479500
2023-02-03,36.090000,36.310001,35.950001,35.990002,34.030426,2246400
2023-02-06,35.759998,35.919998,35.639999,35.919998,33.964230,1884300
2023-02-07,36.169998,36.590000,36.150002,36.480000,34.493740,2097700
2023-02-08,36.900002,36.990002,36.810001,36.849998,34.843594,1965800
2023-02-09,37.680000,37.720001,37.209999,37.230000,35.202908,2354300
2023-02-10,36.950001,36.970001,36.750000,36.849998,34.843594,1930000
2023-02-13,37.060001,37.299999,37.049999,37.270000,35.240730,1089000
2023-02-14,36.830002,37.290001,36.810001,37.220001,35.193455,1525500
2023-02-15,36.660000,36.889999,36.619999,36.880001,34.871964,1491800
2023-02-16,36.869999,37.279999,36.869999,37.099998,35.079983,1749900
2023-02-17,37.090000,37.400002,37.020000,37.340000,35.306919,2052200
2023-02-21,39.209999,39.630001,38.990002,39.040001,36.914356,4068200
2023-02-22,38.459999,38.590000,38.240002,38.270000,36.186283,2996600
2023-02-23,38.000000,38.130001,37.779999,37.980000,35.912067,2433200
2023-02-24,37.849998,38.090000,37.830002,38.020000,35.949894,1695600
2023-02-27,38.070000,38.200001,37.939999,37.980000,35.912067,2037100
2023-02-28,38.580002,38.590000,38.290001,38.310001,36.224106,2455800
2023-03-01,38.380001,38.529999,38.240002,38.349998,36.261925,3010800
2023-03-02,36.889999,37.029999,36.619999,36.970001,36.037727,2147900
2023-03-03,36.910000,37.250000,36.880001,37.240002,36.300919,1649300
2023-03-06,36.880001,37.279999,36.849998,37.200001,36.261929,1588000
2023-03-07,37.480000,37.490002,36.869999,37.009998,36.076714,2364200
2023-03-08,37.400002,37.669998,37.189999,37.340000,36.398396,1990700
2023-03-09,37.090000,37.259998,36.630001,36.720001,35.794033,2448600
2023-03-10,35.540001,35.860001,35.139999,35.310001,34.419586,5830700
2023-03-13,34.200001,35.020000,34.189999,34.599998,33.727486,7471500
2023-03-14,35.189999,35.389999,34.889999,35.130001,34.244125,3802000
2023-03-15,32.930000,33.869999,32.910000,33.790001,32.937916,8781700
2023-03-16,33.290001,34.490002,33.290001,34.490002,33.620266,4600400
2023-03-17,33.099998,33.389999,32.840000,33.080002,32.245823,3440100
2023-03-20,32.930000,33.470001,32.900002,33.250000,32.411533,3593200
2023-03-21,33.990002,34.299999,33.860001,33.930000,33.074387,2954300
2023-03-22,34.950001,34.950001,34.299999,34.299999,33.435055,3846800
2023-03-23,34.060001,34.220001,33.230000,33.480000,32.635731,3164000
2023-03-24,32.630001,33.080002,32.410000,33.080002,32.245823,3583900
2023-03-27,33.410000,33.650002,33.299999,33.639999,32.791698,2071800
2023-03-28,33.320000,33.619999,33.250000,33.459999,32.616238,1620200
2023-03-29,34.200001,34.349998,34.070000,34.220001,33.357071,2183500
2023-03-30,34.560001,34.560001,34.240002,34.290001,33.425308,1263000
2023-03-31,34.130001,34.220001,33.990002,34.130001,33.269344,1716500
2023-04-03,34.700001,34.910000,34.560001,34.720001,33.844467,1168000
2023-04-04,34.939999,34.970001,34.400002,34.650002,33.776234,1297900
